run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,455,5.084034,0.099054,5.183089,103513,321,0.651317925713,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,456,5.171985,0.101054,5.273039,103969,313,0.652078774617,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,457,5.125946,0.098377,5.224323,104425,319,0.651747521705,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,458,5.082322,0.097645,5.179966,104883,323,0.651416122004,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,459,5.126285,0.101705,5.227990,105341,321,0.652173913043,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,460,5.143558,0.102150,5.245707,105801,325,0.651844604870,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,461,5.224036,0.100729,5.324765,106261,323,0.651515151515,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,462,5.163261,0.100564,5.263825,106723,325,0.651188681214,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,463,5.157395,0.101366,5.258761,107185,329,0.651940432700,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,464,5.352434,0.102540,5.454973,107649,327,0.651612903226,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,465,5.222144,0.104978,5.327123,108113,333,0.651288320539,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,466,5.228783,0.106313,5.335096,108579,327,0.652035029387,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,467,5.258578,0.104278,5.362856,109045,321,0.651709401709,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,468,5.352317,0.137325,5.489642,109513,331,0.651386685208,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,469,5.448955,0.107124,5.556079,109981,333,0.652128418506,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,470,5.418139,0.105744,5.523883,110451,323,0.651804670913,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,471,5.451421,0.103935,5.555356,110921,333,0.651483799526,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,472,5.585957,0.103162,5.689119,111393,337,0.652220623032,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,473,5.519717,0.104630,5.624346,111865,329,0.651898734177,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,474,5.516793,0.108160,5.624953,112339,343,0.651579687182,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,475,5.587406,0.107752,5.695158,112813,335,0.651262463832,1,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,476,5.489490,0.113691,5.603181,113289,333,0.651991614256,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,477,5.574105,0.112727,5.686831,113765,331,0.651674371273,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,478,5.622437,0.127606,5.750043,114243,333,0.651358930380,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,479,5.764298,0.109102,5.873400,114721,345,0.652083333333,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,480,6.035568,0.112083,6.147651,115201,341,0.651767874317,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,481,5.900408,0.122467,6.022875,115681,329,0.651454196215,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,482,5.917528,0.110308,6.027836,116163,343,0.652173913043,0,0,0,0,0.000000,0,0,0,0,1.0e+12
